[0.000000] (-) TimerEvent: {}
[0.001759] (-) JobUnselected: {'identifier': 'car_control'}
[0.002161] (-) JobUnselected: {'identifier': 'costmap_converter'}
[0.002401] (-) JobUnselected: {'identifier': 'costmap_converter_msgs'}
[0.002967] (-) JobUnselected: {'identifier': 'cv_bridge'}
[0.003390] (-) JobUnselected: {'identifier': 'drive_base_msgs'}
[0.003809] (-) JobUnselected: {'identifier': 'estimation_and_vision_assignment'}
[0.004038] (-) JobUnselected: {'identifier': 'image_geometry'}
[0.004201] (-) JobUnselected: {'identifier': 'lane_follower'}
[0.004358] (-) JobUnselected: {'identifier': 'micro_ros_agent'}
[0.004571] (-) JobUnselected: {'identifier': 'micro_ros_msgs'}
[0.004688] (-) JobUnselected: {'identifier': 'obj_det_visualizer'}
[0.004812] (-) JobUnselected: {'identifier': 'opencv_tests'}
[0.004962] (-) JobUnselected: {'identifier': 'rviz_plugin_zed_od'}
[0.005100] (-) JobUnselected: {'identifier': 'vision_opencv'}
[0.005231] (-) JobUnselected: {'identifier': 'yolo_bringup'}
[0.005334] (-) JobUnselected: {'identifier': 'yolo_bringup'}
[0.005436] (-) JobUnselected: {'identifier': 'yolo_msgs'}
[0.005537] (-) JobUnselected: {'identifier': 'yolo_msgs'}
[0.005638] (-) JobUnselected: {'identifier': 'yolo_ros'}
[0.005737] (-) JobUnselected: {'identifier': 'yolo_ros'}
[0.005844] (-) JobUnselected: {'identifier': 'zed_aruco_localization'}
[0.005979] (-) JobUnselected: {'identifier': 'zed_components'}
[0.006152] (-) JobUnselected: {'identifier': 'zed_depth_to_laserscan'}
[0.006285] (-) JobUnselected: {'identifier': 'zed_display_rviz2'}
[0.006393] (-) JobUnselected: {'identifier': 'zed_interfaces'}
[0.006503] (-) JobUnselected: {'identifier': 'zed_multi_camera'}
[0.006606] (-) JobUnselected: {'identifier': 'zed_rgb_convert'}
[0.006707] (-) JobUnselected: {'identifier': 'zed_robot_integration'}
[0.006808] (-) JobUnselected: {'identifier': 'zed_ros2'}
[0.006946] (-) JobUnselected: {'identifier': 'zed_topic_benchmark'}
[0.007074] (-) JobUnselected: {'identifier': 'zed_topic_benchmark_component'}
[0.007198] (-) JobUnselected: {'identifier': 'zed_topic_benchmark_interfaces'}
[0.007299] (-) JobUnselected: {'identifier': 'zed_tutorial_depth'}
[0.007399] (-) JobUnselected: {'identifier': 'zed_tutorial_pos_tracking'}
[0.007498] (-) JobUnselected: {'identifier': 'zed_tutorial_video'}
[0.007598] (-) JobUnselected: {'identifier': 'zed_wrapper'}
[0.007702] (-) EventReactorShutdown: {}
